As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,AAPL,APPLE INC COMMON STOCK USD.00001,5.4219515600,751925701.6500000000
2020-12-31,MSFT,MICROSOFT CORP COMMON STOCK USD.00000625,4.2993864200,596246409.6600000000
2020-12-31,AMZN,AMAZON.COM INC COMMON STOCK USD.01,3.5514604100,492522725.3900000000
2020-12-31,FB,FACEBOOK INC CLASS A COMMON STOCK USD.000006,1.6788019600,232819184.8800000000
2020-12-31,TSLA,TESLA INC COMMON STOCK USD.001,1.3684116600,189773716.0900000000
2020-12-31,GOOGL,ALPHABET INC CL A COMMON STOCK USD.001,1.3469174800,186792865.9200000000
2020-12-31,GOOG,ALPHABET INC CL C COMMON STOCK USD.001,1.2999220600,180275459.5200000000
2020-12-31,BRK.B,BERKSHIRE HATHAWAY INC CL B COMMON STOCK USD.0033,1.1534217000,159958533.8100000000
2020-12-31,JNJ,JOHNSON + JOHNSON COMMON STOCK USD1.0,1.0589675100,146859461.7600000000
2020-12-31,JPM,JPMORGAN CHASE + CO COMMON STOCK USD1.0,0.9899973600,137294560.4800000000
2020-12-31,V,VISA INC CLASS A SHARES COMMON STOCK USD.0001,0.9479605500,131464823.0100000000
2020-12-31,PG,PROCTER + GAMBLE CO/THE COMMON STOCK,0.8817841400,122287363.2000000000
2020-12-31,UNH,UNITEDHEALTH GROUP INC COMMON STOCK USD.01,0.8503857700,117932982.6400000000
2020-12-31,DIS,WALT DISNEY CO/THE COMMON STOCK USD.01,0.8385675200,116294006.6000000000
2020-12-31,,TIME DEPOSITS,0.8323756900,115435313.3600000000
2020-12-31,NVDA,NVIDIA CORP COMMON STOCK USD.001,0.8263933200,114605667.4000000000
2020-12-31,MA,MASTERCARD INC   A COMMON STOCK USD.0001,0.8025129200,111293892.0000000000
2020-12-31,HD,HOME DEPOT INC COMMON STOCK USD.05,0.7308116400,101350232.8200000000
2020-12-31,PYPL,PAYPAL HOLDINGS INC COMMON STOCK USD.0001,0.7016285700,97303074.0000000000
2020-12-31,VZ,VERIZON COMMUNICATIONS INC COMMON STOCK USD.1,0.6212365800,86154172.5000000000
2020-12-31,ADBE,ADOBE INC COMMON STOCK USD.0001,0.6132054700,85040404.8000000000
2020-12-31,CMCSA,COMCAST CORP CLASS A COMMON STOCK USD.01,0.6113614100,84784667.2000000000
2020-12-31,NFLX,NETFLIX INC COMMON STOCK USD.001,0.6110819400,84745909.2500000000
2020-12-31,BAC,BANK OF AMERICA CORP COMMON STOCK USD.01,0.5895961800,81766226.1500000000
2020-12-31,KO,COCA COLA CO/THE COMMON STOCK USD.25,0.5419427200,75157561.9200000000
2020-12-31,MRK,MERCK + CO. INC. COMMON STOCK USD.5,0.5287842200,73332718.4000000000
2020-12-31,PEP,PEPSICO INC COMMON STOCK USD.017,0.5236384900,72619099.1000000000
2020-12-31,T,AT+T INC COMMON STOCK USD1.0,0.5236357000,72618712.4000000000
2020-12-31,PFE,PFIZER INC COMMON STOCK USD.05,0.5231567400,72552289.1400000000
2020-12-31,INTC,INTEL CORP COMMON STOCK USD.001,0.5217419000,72356077.0000000000
2020-12-31,CRM,SALESFORCE.COM INC COMMON STOCK USD.001,0.5205737300,72194072.7200000000
2020-12-31,WMT,WALMART INC COMMON STOCK USD.1,0.5105951600,70810227.9000000000
2020-12-31,ABT,ABBOTT LABORATORIES COMMON STOCK,0.4959168300,68774610.6400000000
2020-12-31,ABBV,ABBVIE INC COMMON STOCK USD.01,0.4834422300,67044612.2000000000
2020-12-31,CSCO,CISCO SYSTEMS INC COMMON STOCK USD.001,0.4831054700,66997910.0000000000
2020-12-31,TMO,THERMO FISHER SCIENTIFIC INC COMMON STOCK USD1.0,0.4718868400,65442090.0000000000
2020-12-31,NKE,NIKE INC  CL B COMMON STOCK,0.4535123500,62893883.7800000000
2020-12-31,AVGO,BROADCOM INC COMMON STOCK,0.4524624600,62748283.5000000000
2020-12-31,XOM,EXXON MOBIL CORP COMMON STOCK,0.4456536900,61804031.4000000000
2020-12-31,QCOM,QUALCOMM INC COMMON STOCK USD.0001,0.4403974500,61075086.4200000000
2020-12-31,COST,COSTCO WHOLESALE CORP COMMON STOCK USD.005,0.4246872300,58896365.7000000000
2020-12-31,ACN,ACCENTURE PLC CL A COMMON STOCK USD.0000225,0.4227619700,58629368.1300000000
2020-12-31,CVX,CHEVRON CORP COMMON STOCK USD.75,0.4156583000,57644218.8000000000
2020-12-31,MCD,MCDONALD S CORP COMMON STOCK USD.01,0.4084256400,56641180.5400000000
2020-12-31,MDT,MEDTRONIC PLC COMMON STOCK USD.1,0.4028001000,55861020.3600000000
2020-12-31,NEE,NEXTERA ENERGY INC COMMON STOCK USD.01,0.3860633600,53539939.8000000000
2020-12-31,TXN,TEXAS INSTRUMENTS INC COMMON STOCK USD1.0,0.3848355100,53369659.7100000000
2020-12-31,HON,HONEYWELL INTERNATIONAL INC COMMON STOCK USD1.0,0.3812708400,52875305.7000000000
2020-12-31,DHR,DANAHER CORP COMMON STOCK USD.01,0.3587256400,49748697.2800000000
2020-12-31,UNP,UNION PACIFIC CORP COMMON STOCK USD2.5,0.3586149500,49733347.0000000000
2020-12-31,BMY,BRISTOL MYERS SQUIBB CO COMMON STOCK USD.1,0.3582871800,49687890.9000000000
2020-12-31,LIN,LINDE PLC COMMON STOCK EUR.001,0.3532410900,48988090.0600000000
2020-12-31,LLY,ELI LILLY + CO COMMON STOCK,0.3427452700,47532512.1600000000
2020-12-31,AMGN,AMGEN INC COMMON STOCK USD.0001,0.3422346300,47461695.8400000000
2020-12-31,PM,PHILIP MORRIS INTERNATIONAL COMMON STOCK,0.3294956400,45695029.8100000000
2020-12-31,C,CITIGROUP INC COMMON STOCK USD.01,0.3279810100,45484978.8400000000
2020-12-31,SBUX,STARBUCKS CORP COMMON STOCK USD.001,0.3209521600,44510205.7800000000
2020-12-31,WFC,WELLS FARGO + CO COMMON STOCK USD1.666,0.3189044400,44226224.7000000000
2020-12-31,ORCL,ORACLE CORP COMMON STOCK USD.01,0.3133651800,43458030.4100000000
2020-12-31,UPS,UNITED PARCEL SERVICE CL B COMMON STOCK USD.01,0.3078349200,42691084.0000000000
2020-12-31,LOW,LOWE S COS INC COMMON STOCK USD.5,0.3003297800,41650258.3700000000
2020-12-31,BA,BOEING CO/THE COMMON STOCK USD5.0,0.2904560700,40280954.5600000000
2020-12-31,IBM,INTL BUSINESS MACHINES CORP COMMON STOCK USD.2,0.2864060700,39719294.0400000000
2020-12-31,AMD,ADVANCED MICRO DEVICES COMMON STOCK USD.01,0.2821819300,39133482.3900000000
2020-12-31,RTX,RAYTHEON TECHNOLOGIES CORP COMMON STOCK USD1.0,0.2774963500,38483678.5800000000
2020-12-31,NOW,SERVICENOW INC COMMON STOCK USD.001,0.2746320600,38086453.4200000000
2020-12-31,BLK,BLACKROCK INC COMMON STOCK USD.01,0.2612766100,36234295.7200000000
2020-12-31,MMM,3M CO COMMON STOCK USD.01,0.2576015300,35724628.9400000000
2020-12-31,INTU,INTUIT INC COMMON STOCK USD.01,0.2549383700,35355298.4500000000
2020-12-31,AMT,AMERICAN TOWER CORP REIT USD.01,0.2545941300,35307558.0000000000
2020-12-31,CAT,CATERPILLAR INC COMMON STOCK USD1.0,0.2527182300,35047404.9400000000
2020-12-31,MS,MORGAN STANLEY COMMON STOCK USD.01,0.2500513000,34677550.6000000000
2020-12-31,CHTR,CHARTER COMMUNICATIONS INC A COMMON STOCK USD.001,0.2465611800,34193534.8500000000
2020-12-31,ISRG,INTUITIVE SURGICAL INC COMMON STOCK USD.001,0.2458103600,34089408.9000000000
2020-12-31,GE,GENERAL ELECTRIC CO COMMON STOCK USD.06,0.2421147600,33576897.6000000000
2020-12-31,BKNG,BOOKING HOLDINGS INC COMMON STOCK USD.008,0.2332918700,32353324.0200000000
2020-12-31,GS,GOLDMAN SACHS GROUP INC COMMON STOCK USD.01,0.2316028500,32119086.8700000000
2020-12-31,CVS,CVS HEALTH CORP COMMON STOCK USD.01,0.2284677200,31684301.7000000000
2020-12-31,TGT,TARGET CORP COMMON STOCK USD.0833,0.2258710400,31324189.3200000000
2020-12-31,FIS,FIDELITY NATIONAL INFO SERV COMMON STOCK USD.01,0.2241686400,31088098.3600000000
2020-12-31,LMT,LOCKHEED MARTIN CORP COMMON STOCK USD1.0,0.2230832300,30937571.9400000000
2020-12-31,DE,DEERE + CO COMMON STOCK USD1.0,0.2154060800,29872890.5500000000
2020-12-31,MU,MICRON TECHNOLOGY INC COMMON STOCK USD.1,0.2139816600,29675350.3200000000
2020-12-31,SQ,SQUARE INC   A COMMON STOCK USD.0000001,0.2137233100,29639521.0400000000
2020-12-31,MDLZ,MONDELEZ INTERNATIONAL INC A COMMON STOCK,0.2134242000,29598040.2300000000
2020-12-31,TJX,TJX COMPANIES INC COMMON STOCK USD1.0,0.2095779400,29064633.7400000000
2020-12-31,SYK,STRYKER CORP COMMON STOCK USD.1,0.2046397500,28379797.6800000000
2020-12-31,ANTM,ANTHEM INC COMMON STOCK USD.01,0.2041493600,28311789.6600000000
2020-12-31,SCHW,SCHWAB (CHARLES) CORP COMMON STOCK USD.01,0.2022069100,28042407.1200000000
2020-12-31,SPGI,S+P GLOBAL INC COMMON STOCK USD1.0,0.2018340800,27990702.0400000000
2020-12-31,AMAT,APPLIED MATERIALS INC COMMON STOCK USD.01,0.2013151800,27918740.4000000000
2020-12-31,AXP,AMERICAN EXPRESS CO COMMON STOCK USD.2,0.2012383400,27908083.4700000000
2020-12-31,ZTS,ZOETIS INC COMMON STOCK USD.01,0.2009985800,27874834.0000000000
2020-12-31,TMUS,T MOBILE US INC COMMON STOCK USD.0001,0.2009519800,27868370.7000000000
2020-12-31,MO,ALTRIA GROUP INC COMMON STOCK USD.333,0.1949187300,27031669.0000000000
2020-12-31,ADP,AUTOMATIC DATA PROCESSING COMMON STOCK USD.1,0.1929142100,26753679.4000000000
2020-12-31,CI,CIGNA CORP COMMON STOCK USD.01,0.1922458400,26660988.0600000000
2020-12-31,PLD,PROLOGIS INC REIT USD.01,0.1880969000,26085606.3600000000
2020-12-31,CL,COLGATE PALMOLIVE CO COMMON STOCK USD1.0,0.1870221000,25936551.1600000000
2020-12-31,GILD,GILEAD SCIENCES INC COMMON STOCK USD.001,0.1868795800,25916786.2200000000
2020-12-31,BDX,BECTON DICKINSON AND CO COMMON STOCK USD1.0,0.1855714800,25735377.2200000000
2020-12-31,ATVI,ACTIVISION BLIZZARD INC COMMON STOCK USD.000001,0.1835773000,25458820.0500000000
2020-12-31,UBER,UBER TECHNOLOGIES INC COMMON STOCK USD.00001,0.1818725800,25222407.0000000000
2020-12-31,CB,CHUBB LTD COMMON STOCK,0.1775851300,24627815.6800000000
2020-12-31,CSX,CSX CORP COMMON STOCK USD1.0,0.1774693800,24611763.0000000000
2020-12-31,CCI,CROWN CASTLE INTL CORP REIT USD.01,0.1753409600,24316590.8800000000
2020-12-31,LRCX,LAM RESEARCH CORP COMMON STOCK USD.001,0.1738536500,24110328.0400000000
2020-12-31,DUK,DUKE ENERGY CORP COMMON STOCK USD.001,0.1718999500,23839385.6400000000
2020-12-31,ZM,ZOOM VIDEO COMMUNICATIONS A COMMON STOCK USD.001,0.1715183000,23786457.1200000000
2020-12-31,ADSK,AUTODESK INC COMMON STOCK USD.01,0.1714356400,23774993.7600000000
2020-12-31,FISV,FISERV INC COMMON STOCK USD.01,0.1672895000,23199999.7400000000
2020-12-31,CME,CME GROUP INC COMMON STOCK USD.01,0.1668320000,23136552.4500000000
2020-12-31,SO,SOUTHERN CO/THE COMMON STOCK USD5.0,0.1655072100,22952828.0600000000
2020-12-31,ICE,INTERCONTINENTAL EXCHANGE IN COMMON STOCK USD.01,0.1650618100,22891060.0800000000
2020-12-31,TFC,TRUIST FINANCIAL CORP COMMON STOCK USD5.0,0.1650218700,22885520.5400000000
2020-12-31,GPN,GLOBAL PAYMENTS INC COMMON STOCK,0.1647178000,22843352.2200000000
2020-12-31,USB,US BANCORP COMMON STOCK USD.01,0.1629735900,22601461.2600000000
2020-12-31,EQIX,EQUINIX INC REIT USD.001,0.1624754500,22532379.0000000000
2020-12-31,PNC,PNC FINANCIAL SERVICES GROUP COMMON STOCK USD5.0,0.1610959000,22341060.0000000000
2020-12-31,FDX,FEDEX CORP COMMON STOCK USD.1,0.1604426900,22250472.4800000000
2020-12-31,VRTX,VERTEX PHARMACEUTICALS INC COMMON STOCK USD.01,0.1575233700,21845615.2200000000
2020-12-31,D,DOMINION ENERGY INC COMMON STOCK,0.1564696700,21699486.4000000000
2020-12-31,NSC,NORFOLK SOUTHERN CORP COMMON STOCK USD1.0,0.1544565500,21420303.8900000000
2020-12-31,APD,AIR PRODUCTS + CHEMICALS INC COMMON STOCK USD1.0,0.1543649900,21407606.6600000000
2020-12-31,EL,ESTEE LAUDER COMPANIES CL A COMMON STOCK USD.01,0.1540285600,21360948.9300000000
2020-12-31,SHW,SHERWIN WILLIAMS CO/THE COMMON STOCK USD1.0,0.1532862700,21258006.6600000000
2020-12-31,MMC,MARSH + MCLENNAN COS COMMON STOCK USD1.0,0.1513337300,20987226.0000000000
2020-12-31,ITW,ILLINOIS TOOL WORKS COMMON STOCK USD.01,0.1497561200,20768440.0800000000
2020-12-31,PGR,PROGRESSIVE CORP COMMON STOCK USD1.0,0.1478653800,20506228.8000000000
2020-12-31,EW,EDWARDS LIFESCIENCES CORP COMMON STOCK USD1.0,0.1453800300,20161556.3100000000
2020-12-31,ADI,ANALOG DEVICES INC COMMON STOCK USD.167,0.1393180300,19320868.0500000000
2020-12-31,HUM,HUMANA INC COMMON STOCK USD.166,0.1386936600,19234278.1400000000
2020-12-31,ILMN,ILLUMINA INC COMMON STOCK USD.01,0.1383453900,19185980.0000000000
2020-12-31,ECL,ECOLAB INC COMMON STOCK USD1.0,0.1372186900,19029727.4400000000
2020-12-31,GM,GENERAL MOTORS CO COMMON STOCK USD.01,0.1343344500,18629736.0000000000
2020-12-31,DD,DUPONT DE NEMOURS INC COMMON STOCK USD.01,0.1335433900,18520030.6200000000
2020-12-31,DG,DOLLAR GENERAL CORP COMMON STOCK USD.875,0.1316951500,18263713.8000000000
2020-12-31,BSX,BOSTON SCIENTIFIC CORP COMMON STOCK USD.01,0.1316319100,18254942.6500000000
2020-12-31,REGN,REGENERON PHARMACEUTICALS COMMON STOCK USD.001,0.1298611800,18009374.5800000000
2020-12-31,AON,AON PLC CLASS A COMMON STOCK,0.1233327200,17103996.6600000000
2020-12-31,NEM,NEWMONT CORP COMMON STOCK USD1.6,0.1232177600,17088054.3600000000
2020-12-31,EMR,EMERSON ELECTRIC CO COMMON STOCK USD.5,0.1229330300,17048566.6200000000
2020-12-31,ETN,EATON CORP PLC COMMON STOCK USD.01,0.1224887600,16986955.0200000000
2020-12-31,TWLO,TWILIO INC   A COMMON STOCK USD.001,0.1215831400,16861362.0000000000
2020-12-31,NOC,NORTHROP GRUMMAN CORP COMMON STOCK USD1.0,0.1206823700,16736441.2800000000
2020-12-31,MCO,MOODY S CORP COMMON STOCK USD.01,0.1194556600,16566318.7200000000
2020-12-31,SNAP,SNAP INC   A COMMON STOCK USD.00001,0.1171055700,16240404.7800000000
2020-12-31,KMB,KIMBERLY CLARK CORP COMMON STOCK USD1.25,0.1169490700,16218700.7000000000
2020-12-31,WM,WASTE MANAGEMENT INC COMMON STOCK USD.01,0.1169437900,16217969.4600000000
2020-12-31,ROP,ROPER TECHNOLOGIES INC COMMON STOCK USD.01,0.1157381900,16050773.9700000000
2020-12-31,COF,CAPITAL ONE FINANCIAL CORP COMMON STOCK USD.01,0.1156882600,16043849.2500000000
2020-12-31,NXPI,NXP SEMICONDUCTORS NV COMMON STOCK,0.1137363500,15773155.9600000000
2020-12-31,ROST,ROSS STORES INC COMMON STOCK USD.01,0.1118603700,15512990.7700000000
2020-12-31,CTSH,COGNIZANT TECH SOLUTIONS A COMMON STOCK USD.01,0.1118206300,15507480.4500000000
2020-12-31,BX,BLACKSTONE GROUP INC/THE A COMMON STOCK USD.00001,0.1113000100,15435279.2200000000
2020-12-31,HCA,HCA HEALTHCARE INC COMMON STOCK USD.01,0.1110257100,15397238.5800000000
2020-12-31,WDAY,WORKDAY INC CLASS A COMMON STOCK USD.001,0.1104510800,15317548.4700000000
2020-12-31,TWTR,TWITTER INC COMMON STOCK USD.000005,0.1103911300,15309233.8500000000
2020-12-31,COP,CONOCOPHILLIPS COMMON STOCK USD.01,0.1095558800,15193400.7000000000
2020-12-31,IDXX,IDEXX LABORATORIES INC COMMON STOCK USD.1,0.1090234900,15119567.8900000000
2020-12-31,EA,ELECTRONIC ARTS INC COMMON STOCK USD.01,0.1065492800,14776440.0000000000
2020-12-31,DOCU,DOCUSIGN INC COMMON STOCK USD.0001,0.1062948700,14741157.6000000000
2020-12-31,LULU,LULULEMON ATHLETICA INC COMMON STOCK USD.005,0.1055746300,14641274.0700000000
2020-12-31,AEP,AMERICAN ELECTRIC POWER COMMON STOCK USD6.5,0.1055620700,14639532.1600000000
2020-12-31,DOW,DOW INC COMMON STOCK USD.01,0.1055355200,14635849.5000000000
2020-12-31,EXC,EXELON CORP COMMON STOCK,0.1051102800,14576877.2000000000
2020-12-31,BAX,BAXTER INTERNATIONAL INC COMMON STOCK USD1.0,0.1048308400,14538123.9200000000
2020-12-31,TEL,TE CONNECTIVITY LTD COMMON STOCK CHF.57,0.1023058300,14187951.1600000000
2020-12-31,KLAC,KLA CORP COMMON STOCK USD.001,0.1022894500,14185678.9000000000
2020-12-31,CRWD,CROWDSTRIKE HOLDINGS INC   A COMMON STOCK,0.1022001800,14173299.8400000000
2020-12-31,LHX,L3HARRIS TECHNOLOGIES INC COMMON STOCK USD1.0,0.1014886200,14074618.2200000000
2020-12-31,SNPS,SYNOPSYS INC COMMON STOCK USD.01,0.1013412300,14054178.1200000000
2020-12-31,MTCH,MATCH GROUP INC COMMON STOCK,0.1006728700,13961489.3600000000
2020-12-31,DLR,DIGITAL REALTY TRUST INC REIT USD.01,0.0999514000,13861434.5800000000
2020-12-31,APH,AMPHENOL CORP CL A COMMON STOCK USD.001,0.0997575500,13834550.6100000000
2020-12-31,CMG,CHIPOTLE MEXICAN GRILL INC COMMON STOCK USD.01,0.0993823000,13782510.6900000000
2020-12-31,PTON,PELOTON INTERACTIVE INC A COMMON STOCK USD.000025,0.0993552200,13778755.2400000000
2020-12-31,ALGN,ALIGN TECHNOLOGY INC COMMON STOCK USD.0001,0.0980737600,13601039.7600000000
2020-12-31,CDNS,CADENCE DESIGN SYS INC COMMON STOCK USD.01,0.0973709200,13503568.5400000000
2020-12-31,SYY,SYSCO CORP COMMON STOCK USD1.0,0.0969234000,13441505.5600000000
2020-12-31,FCX,FREEPORT MCMORAN INC COMMON STOCK USD.1,0.0968775000,13435140.7800000000
2020-12-31,BIIB,BIOGEN INC COMMON STOCK USD.0005,0.0964455200,13375232.6400000000
2020-12-31,STZ,CONSTELLATION BRANDS INC A COMMON STOCK USD.01,0.0949020400,13161181.1500000000
2020-12-31,VEEV,VEEVA SYSTEMS INC CLASS A COMMON STOCK USD.00001,0.0948033700,13147497.0000000000
2020-12-31,MSCI,MSCI INC COMMON STOCK USD.01,0.0946240200,13122623.6400000000
2020-12-31,SRE,SEMPRA ENERGY COMMON STOCK,0.0938199100,13011109.2000000000
2020-12-31,CSGP,COSTAR GROUP INC COMMON STOCK USD.01,0.0931999500,12925131.5200000000
2020-12-31,A,AGILENT TECHNOLOGIES INC COMMON STOCK USD.01,0.0928769500,12880336.9600000000
2020-12-31,ROKU,ROKU INC COMMON STOCK USD.0001,0.0926905400,12854486.3200000000
2020-12-31,MCHP,MICROCHIP TECHNOLOGY INC COMMON STOCK USD.001,0.0919872100,12756947.2400000000
2020-12-31,GIS,GENERAL MILLS INC COMMON STOCK USD.1,0.0917328700,12721674.0000000000
2020-12-31,MET,METLIFE INC COMMON STOCK USD.01,0.0916749200,12713637.4500000000
2020-12-31,TRV,TRAVELERS COS INC/THE COMMON STOCK NPV,0.0910389400,12625439.2800000000
2020-12-31,DXCM,DEXCOM INC COMMON STOCK USD.001,0.0909945500,12619283.0400000000
2020-12-31,APTV,APTIV PLC COMMON STOCK USD.01,0.0900058800,12482172.8700000000
2020-12-31,MAR,MARRIOTT INTERNATIONAL  CL A COMMON STOCK USD.01,0.0898781700,12464461.2000000000
2020-12-31,PSA,PUBLIC STORAGE REIT USD.1,0.0897232000,12442970.2600000000
2020-12-31,PH,PARKER HANNIFIN CORP COMMON STOCK USD.5,0.0896341000,12430613.1200000000
2020-12-31,XEL,XCEL ENERGY INC COMMON STOCK USD2.5,0.0895832000,12423554.4800000000
2020-12-31,TT,TRANE TECHNOLOGIES PLC COMMON STOCK USD1.0,0.0891025000,12356890.1600000000
2020-12-31,CNC,CENTENE CORP COMMON STOCK USD.001,0.0890660300,12351832.8300000000
2020-12-31,XLNX,XILINX INC COMMON STOCK USD.01,0.0890477800,12349301.1600000000
2020-12-31,BK,BANK OF NEW YORK MELLON CORP COMMON STOCK USD.01,0.0883749600,12255992.9600000000
2020-12-31,GD,GENERAL DYNAMICS CORP COMMON STOCK USD1.0,0.0882446000,12237915.0600000000
2020-12-31,F,FORD MOTOR CO COMMON STOCK USD.01,0.0880227400,12207147.6600000000
2020-12-31,IQV,IQVIA HOLDINGS INC COMMON STOCK USD.01,0.0879766900,12200760.3200000000
2020-12-31,ALXN,ALEXION PHARMACEUTICALS INC COMMON STOCK USD.0001,0.0876546300,12156096.9600000000
2020-12-31,TROW,T ROWE PRICE GROUP INC COMMON STOCK USD.2,0.0874127600,12122554.2500000000
2020-12-31,MNST,MONSTER BEVERAGE CORP COMMON STOCK,0.0873020800,12107204.1600000000
2020-12-31,PPG,PPG INDUSTRIES INC COMMON STOCK USD1.67,0.0870155200,12067464.2800000000
2020-12-31,PANW,PALO ALTO NETWORKS INC COMMON STOCK USD.0001,0.0866886500,12022132.9200000000
2020-12-31,HPQ,HP INC COMMON STOCK USD.01,0.0863678300,11977641.4600000000
2020-12-31,PINS,PINTEREST INC  CLASS A COMMON STOCK USD.00001,0.0862857200,11966253.8000000000
2020-12-31,TDG,TRANSDIGM GROUP INC COMMON STOCK USD.01,0.0861595400,11948755.8000000000
2020-12-31,TTD,TRADE DESK INC/THE  CLASS A COMMON STOCK,0.0861289400,11944512.0000000000
2020-12-31,VRSK,VERISK ANALYTICS INC COMMON STOCK USD.001,0.0861200300,11943275.4700000000
2020-12-31,JCI,JOHNSON CONTROLS INTERNATION COMMON STOCK USD.01,0.0861131500,11942321.5200000000
2020-12-31,CMI,CUMMINS INC COMMON STOCK USD2.5,0.0858377400,11904127.8000000000
2020-12-31,LBRDK,LIBERTY BROADBAND C COMMON STOCK USD.01,0.0857126300,11886777.0900000000
2020-12-31,INFO,IHS MARKIT LTD COMMON STOCK USD.01,0.0854494900,11850283.7700000000
2020-12-31,ALL,ALLSTATE CORP COMMON STOCK USD.01,0.0852366900,11820772.9000000000
2020-12-31,EBAY,EBAY INC COMMON STOCK USD.001,0.0843970500,11704330.5000000000
2020-12-31,ORLY,O REILLY AUTOMOTIVE INC COMMON STOCK USD.01,0.0837348400,11612493.6300000000
2020-12-31,YUM,YUM  BRANDS INC COMMON STOCK,0.0836397800,11599310.3200000000
2020-12-31,AIG,AMERICAN INTERNATIONAL GROUP COMMON STOCK USD2.5,0.0836349300,11598638.1600000000
2020-12-31,ZBH,ZIMMER BIOMET HOLDINGS INC COMMON STOCK USD.01,0.0816784500,11327309.9900000000
2020-12-31,MRVL,MARVELL TECHNOLOGY GROUP LTD COMMON STOCK USD.002,0.0816307900,11320700.2000000000
2020-12-31,MRNA,MODERNA INC COMMON STOCK USD.0001,0.0804329000,11154575.3100000000
2020-12-31,SBAC,SBA COMMUNICATIONS CORP REIT USD.01,0.0801114600,11109997.2700000000
2020-12-31,ANSS,ANSYS INC COMMON STOCK USD.01,0.0800701500,11104267.4000000000
2020-12-31,CTAS,CINTAS CORP COMMON STOCK,0.0794255500,11014873.9800000000
2020-12-31,HLT,HILTON WORLDWIDE HOLDINGS IN COMMON STOCK USD.01,0.0792216100,10986591.2200000000
2020-12-31,OKTA,OKTA INC COMMON STOCK,0.0791151500,10971827.5200000000
2020-12-31,PRU,PRUDENTIAL FINANCIAL INC COMMON STOCK USD.01,0.0790614900,10964385.0100000000
2020-12-31,RMD,RESMED INC COMMON STOCK USD.004,0.0788230900,10931323.1200000000
2020-12-31,CARR,CARRIER GLOBAL CORP COMMON STOCK USD.01,0.0785908700,10899118.5600000000
2020-12-31,PSX,PHILLIPS 66 COMMON STOCK,0.0784137200,10874550.9600000000
2020-12-31,SLB,SCHLUMBERGER LTD COMMON STOCK USD.01,0.0780727500,10827265.2300000000
2020-12-31,BLL,BALL CORP COMMON STOCK,0.0778736600,10799655.1800000000
2020-12-31,RNG,RINGCENTRAL INC CLASS A COMMON STOCK USD.0001,0.0771156500,10694533.4000000000
2020-12-31,PCAR,PACCAR INC COMMON STOCK USD1.0,0.0762848000,10579308.4800000000
2020-12-31,PAYX,PAYCHEX INC COMMON STOCK USD.01,0.0761166500,10555989.4800000000
2020-12-31,ES,EVERSOURCE ENERGY COMMON STOCK USD5.0,0.0759261000,10529564.6500000000
2020-12-31,PEG,PUBLIC SERVICE ENTERPRISE GP COMMON STOCK,0.0752702900,10438615.0000000000
2020-12-31,EOG,EOG RESOURCES INC COMMON STOCK USD.01,0.0746426000,10351565.7700000000
2020-12-31,ROK,ROCKWELL AUTOMATION INC COMMON STOCK USD1.0,0.0745005600,10331867.1400000000
2020-12-31,WEC,WEC ENERGY GROUP INC COMMON STOCK USD.01,0.0741532900,10283708.2900000000
2020-12-31,AFL,AFLAC INC COMMON STOCK USD.1,0.0740005100,10262519.7800000000
2020-12-31,MSI,MOTOROLA SOLUTIONS INC COMMON STOCK USD.01,0.0738846700,10246455.1200000000
2020-12-31,CTVA,CORTEVA INC COMMON STOCK USD.01,0.0738540900,10242214.4000000000
2020-12-31,WBA,WALGREENS BOOTS ALLIANCE INC COMMON STOCK USD.01,0.0736263900,10210635.9200000000
2020-12-31,SWK,STANLEY BLACK + DECKER INC COMMON STOCK USD2.5,0.0730570100,10131672.9600000000
2020-12-31,ADM,ARCHER DANIELS MIDLAND CO COMMON STOCK,0.0717552000,9951135.6400000000
2020-12-31,FAST,FASTENAL CO COMMON STOCK USD.01,0.0716927200,9942471.6200000000
2020-12-31,SPG,SIMON PROPERTY GROUP INC REIT USD.0001,0.0716513900,9936740.3200000000
2020-12-31,MCK,MCKESSON CORP COMMON STOCK USD.01,0.0712726900,9884221.4400000000
2020-12-31,AWK,AMERICAN WATER WORKS CO INC COMMON STOCK USD.01,0.0712052900,9874873.6800000000
2020-12-31,AME,AMETEK INC COMMON STOCK USD.01,0.0711782400,9871122.8000000000
2020-12-31,DFS,DISCOVER FINANCIAL SERVICES COMMON STOCK USD.01,0.0711632100,9869037.4200000000
2020-12-31,LUV,SOUTHWEST AIRLINES CO COMMON STOCK USD1.0,0.0705429500,9783019.5100000000
2020-12-31,GLW,CORNING INC COMMON STOCK USD.5,0.0704771300,9773892.0000000000
2020-12-31,OTIS,OTIS WORLDWIDE CORP COMMON STOCK USD.01,0.0702826800,9746924.6000000000
2020-12-31,AZO,AUTOZONE INC COMMON STOCK USD.01,0.0702211400,9738389.6000000000
2020-12-31,VFC,VF CORP COMMON STOCK,0.0699807500,9705052.8900000000
2020-12-31,SPLK,SPLUNK INC COMMON STOCK USD.001,0.0699299000,9698000.7600000000
2020-12-31,WLTW,WILLIS TOWERS WATSON PLC COMMON STOCK USD.000304635,0.0696763500,9662838.2000000000
2020-12-31,MTD,METTLER TOLEDO INTERNATIONAL COMMON STOCK USD.01,0.0693841700,9622318.2400000000
